Subject,Predicate,Object
中华苏维埃共和国宪法大纲,制定,大会
中华苏维埃共和国宪法大纲,通过,大会
中华苏维埃共和国宪法大纲,通过,第一届全国人民代表大会
中华苏维埃共和国宪法,制定,第一届华北临时人民代表大会
中华苏维埃共和国宪法大纲,通过,第一届华北临时人民代表大会
《中华苏维埃共和国宪法大纲》,通过,中华苏维埃第一次全国代表大会
中华苏维埃共和国宪法,制定,第一届华北临时人民代表大会
中华苏维埃共和国宪法,颁布,1949年9月
中华苏维埃共和国宪法大纲,通过,第一届全国代表大会
中华苏维埃共和国宪法,颁布,第一届华北临时人民代表大会
选举法,通过,中央人民政府委员会
中华人民共和国全国人民代表大会及地方各级人民代表大会选举法,通过,中央人民政府委员会
中华人民共和国全国人民代表大会及地方各级人民代表大会选举法,通过,中央人民政府委员会
《中华人民共和国全国人民代表大会及地方各级人民代表大会选举法》,通过,中央人民政府委员会
中华人民共和国全国人民代表大会及地方各级人民代表大会选举法,制定,中央人民政府委员会
中央人民政府委员会,决定,进行普选
选举法,颁布,1954年5月
中华人民共和国全国人民代表大会及地方各级人民代表大会选举法,通过,中央人民政府委员会
选举法,颁布,1953年2月
中华人民共和国第一届全国人民代表大会,选举,毛泽东
宪法,制定,会议
宪法,制定,会议
宪法,制定,会议
中华人民共和国宪法草案,报告,刘少奇
政府工作报告,报告,周恩来
会议,听取,刘少奇
会议,听取,周恩来
会议,听取,刘少奇
会议,听取,周恩来
中华人民共和国宪法,制定,会议
关于政府工作报告的决议,通过,会议
中华人民共和国全国人民代表大会组织法,通过,会议
中华人民共和国国务院组织法,通过,会议
中华人民共和国法院组织法,通过,会议
中华人民共和国人民检察院组织法,通过,会议
中华人民共和国地方各级人民代表大会和地方各级人民委员会组织法,通过,会议
关于中华人民共和国现行法律、法令继续有效的决议,通过,会议
关于政府工作报告的决议,通过,会议
中华人民共和国宪法,制定,会议
关于政府工作报告的决议,通过,会议
中华人民共和国全国人民代表大会组织法,通过,会议
中华人民共和国国务院组织法,通过,会议
中华人民共和国法院组织法,通过,会议
中华人民共和国人民检察院组织法,通过,会议
中华人民共和国地方各级人民代表大会和地方各级人民委员会组织法,通过,会议
关于中华人民共和国现行法律、法令继续有效的决议,通过,会议
《中华人民共和国宪法》,通过,会议
《关于政府工作报告的决议》,通过,会议
《中华人民共和国全国人民代表大会组织法》,通过,会议
《中华人民共和国国务院组织法》,通过,会议
《中华人民共和国法院组织法》,通过,会议
《中华人民共和国人民检察院组织法》,通过,会议
《中华人民共和国地方各级人民代表大会和地方各级人民委员会组织法》,通过,会议
《关于中华人民共和国现行法律、法令继续有效的决议》,通过,会议
中华人民共和国宪法,制定,会议
中华人民共和国宪法,颁布,会议
中华人民共和国宪法,颁布,会议
关于政府工作报告的决议,通过,会议
中华人民共和国宪法,颁布,会议
全国人民代表大会,选举,全国人民代表大会选举
地方各级人民代表大会,选举,民主选举
《宪法》,通过,全国人民代表大会
人民代表大会制度,指导,宪法
国务院总理,决定,全国人民代表大会
全国人民代表大会组织法,颁布,一届全国人大一次会议主席团
全国人民代表大会组织法,颁布,一届全国人大一次会议主席团
全国人民代表大会组织法,颁布,一届全国人大一次会议主席团
全国人民代表大会组织法,宪法,全国人民代表大会
全国人民代表大会组织法,颁布,一届全国人大一次会议主席团
会议,选举,毛泽东
会议,选举,朱德
第一届全国人民代表大会常务委员会,选举,刘少奇
国务院总理,提名,周恩来
董必武,部门,最高人民法院
张鼎丞,部门,最高人民检察院
会议,听取,李富春
会议,听取,李先念
会议,听取,彭德怀
会议,听取,彭真
会议,听取,邓子恢
会议,听取,陈云
关于发展国民经济第一个五年计划的报告,报告,李富春
关于1954年国家决算和1955年国家预算的报告,报告,李先念
关于中华人民共和国兵役法草案的报告,报告,彭德怀
全国人大常委会的工作报告,报告,彭真
关于根治黄河水害和开发黄河水利的综合规划的报告,报告,邓子恢
